Country of Origin,1994,1998,2000,2002,2003,2005,2006,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
India,0,0,0,0,0,0,0,1,1,0,1,3,3,6,2,11,19
Italy,1,1,1,1,0,1,0,1,0,3,1,2,4,7,3,18,48
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,14
UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
United States,0,0,0,0,2,2,1,0,0,0,5,0,0,0,1,0,8
